timestamp,action,interaction_value
1732318504.039,Stop Drawing,0
1732318504.769,Start Drawing,1
1732318505.547,Stop Drawing,0
1732318507.052,Start Drawing,1
1732318507.742,Stop Drawing,0
1732318508.341,Start Drawing,1
1732318508.843,Stop Drawing,0
1732318510.417,Start Drawing,1
1732318510.984,Stop Drawing,0
1732318511.508,Start Drawing,1
1732318511.961,Stop Drawing,0
1732318991.11,Start Drawing,1
1732318991.202,Stop Drawing,0
1732318991.802,Reset Canvas,0
1732318992.768,Start Drawing,1
1732318993.105,Stop Drawing,0
1732318993.853,Start Drawing,1
1732318994.085,Stop Drawing,0
1732318994.705,Start Drawing,1
1732318995.196,Stop Drawing,0
1732318995.668,Start Drawing,1
1732318995.881,Stop Drawing,0
